file,path,sha256,source_url,captured_at
junction421_homepage_signal.md,/mnt/data/source_capture_batch02_2026-07-06/evidence/junction421_homepage_signal.md,sha256:9c2737a2a73977f1f721709da828db852d42d55af47b7be1f692bb88b22fc9ee,https://junction421.com/,2026-07-06
junction421_dinner_menu_daily_blue_plate.md,/mnt/data/source_capture_batch02_2026-07-06/evidence/junction421_dinner_menu_daily_blue_plate.md,sha256:e7f3f6324f4ae2fc9a98b1be5eb372ec65e4f84b3f1e70bed2b7a93cce602786,https://junction421.com/dinner-menu/,2026-07-06
k38_carolina_beach_specials.md,/mnt/data/source_capture_batch02_2026-07-06/evidence/k38_carolina_beach_specials.md,sha256:58325d8c17bc2a4a877e198e676dea71083e71b25d1268485c18fa5a7e8dfec6,https://k38bajagrill.com/locations/carolina-beach/,2026-07-06
k38_porters_neck_specials.md,/mnt/data/source_capture_batch02_2026-07-06/evidence/k38_porters_neck_specials.md,sha256:8581af6bc9dc3ad52e311faba2e29b4192c93688855b0f0e32ce90bd424ff3d0,https://k38bajagrill.com/locations/porters-neck/,2026-07-06
might_as_well_wilmington_specials.md,/mnt/data/source_capture_batch02_2026-07-06/evidence/might_as_well_wilmington_specials.md,sha256:27b0a9bed92303c348b0d8edcaf2521093f262e1c58a8b8d49e6bb00c1f428cd,https://wilmington.mightaswellbarandgrill.com/wilmington-might-as-well-bar-and-grill-wilmington-happy-hours-specials,2026-07-06
